State,Year,Gender,Race,Deaths,Population,age_grp
Alabama,2000,F,White,10,248709,35-44
Alabama,2000,M,White,11,251014,35-44
Alabama,2001,M,White,12,247372,35-44
Alabama,2002,M,White,11,242919,35-44
Alabama,2002,F,White,10,235189,45-54
Alabama,2003,M,White,10,239017,35-44
Alabama,2004,M,White,15,219849,15-24
Alabama,2004,M,White,14,236652,35-44
Alabama,2004,M,White,15,235425,45-54
Alabama,2005,M,White,13,221256,15-24
Alabama,2005,M,White,12,207085,25-34
Alabama,2005,M,White,10,234481,35-44
Alabama,2005,M,White,18,238988,45-54
Alabama,2006,M,White,14,222818,15-24
Alabama,2006,M,White,17,207154,25-34
Alabama,2006,F,White,18,230972,35-44
Alabama,2006,M,White,13,233999,35-44
Alabama,2006,F,White,13,246393,45-54
Alabama,2006,M,White,15,242960,45-54
Alabama,2007,M,White,28,224273,15-24
Alabama,2007,F,White,12,201731,25-34
Alabama,2007,M,White,24,206850,25-34
Alabama,2007,F,White,17,228870,35-44
Alabama,2007,M,White,22,232053,35-44
Alabama,2007,F,White,17,249100,45-54
Alabama,2007,M,White,15,246065,45-54
Alabama,2008,M,White,15,225868,15-24
Alabama,2008,F,White,14,202361,25-34
Alabama,2008,M,White,39,208129,25-34
Alabama,2008,F,White,29,225810,35-44
Alabama,2008,M,White,25,228887,35-44
Alabama,2008,F,White,20,251274,45-54
Alabama,2008,M,White,19,248457,45-54
Alabama,2009,M,White,17,227585,15-24
Alabama,2009,F,White,17,203918,25-34
Alabama,2009,M,White,37,209864,25-34
Alabama,2009,F,White,22,221942,35-44
Alabama,2009,M,White,28,226271,35-44
Alabama,2009,F,White,29,252180,45-54
Alabama,2009,M,White,22,250542,45-54
Alabama,2010,M,White,11,227918,15-24
Alabama,2010,F,White,17,204528,25-34
Alabama,2010,M,White,42,210492,25-34
Alabama,2010,F,White,18,218975,35-44
Alabama,2010,M,White,25,222558,35-44
Alabama,2010,F,White,19,252403,45-54
Alabama,2010,M,White,22,250831,45-54
Alabama,2011,M,White,13,227453,15-24
Alabama,2011,F,White,14,206377,25-34
Alabama,2011,M,White,25,211472,25-34
Alabama,2011,F,White,12,214663,35-44
Alabama,2011,M,White,25,217046,35-44
Alabama,2011,F,White,31,249168,45-54
Alabama,2011,M,White,23,246852,45-54
Alabama,2012,M,White,11,225836,15-24
Alabama,2012,F,White,13,206788,25-34
Alabama,2012,M,White,24,211611,25-34
Alabama,2012,F,White,12,213202,35-44
Alabama,2012,M,White,28,215438,35-44
Alabama,2012,F,White,18,244754,45-54
Alabama,2012,M,White,23,242514,45-54
Alabama,2013,M,White,13,225800,15-24
Alabama,2013,F,White,15,207617,25-34
Alabama,2013,M,White,33,211864,25-34
Alabama,2013,F,White,11,212735,35-44
Alabama,2013,M,White,19,214464,35-44
Alabama,2013,F,White,15,240989,45-54
Alabama,2013,M,White,18,239311,45-54
Alabama,2013,M,White,11,223435,55-64
Alabama,2014,M,White,16,222839,15-24
Alabama,2014,F,White,23,209459,25-34
Alabama,2014,M,White,40,212565,25-34
Alabama,2014,F,White,18,210863,35-44
Alabama,2014,M,White,31,211753,35-44
Alabama,2014,F,White,30,237891,45-54
Alabama,2014,M,White,33,236505,45-54
Alabama,2014,F,White,17,237390,55-64
Alabama,2014,M,White,26,224776,55-64
